X,Y,BusStopID,CreateDate,LastEditDate
1564356.972,5184142.3837,4859,,
1564363.5314,5184143.4957,4860,,
1564394.4685,5174942.3249,4861,,
1564405.1126,5174943.4365,4862,,
1564417.6412,5183077.3491,4863,,
1564421.4121,5175597.3718,4864,,
1564424.4376,5183062.4917,4865,,
1564427.4243,5175704.7347,4866,,
1564428.9041,5179700.4885,4867,,
1564436.2511,5181672.2747,4868,,
1564454.8907,5182441.2748,4869,,
1564485.8538,5183731.572,4870,,
1564497.0231,5181681.3697,4871,,
1564498.1794,5183566.7999,4872,,
1564508.7915,5184462.7313,4873,,
1564512.3681,5183526.9148,4874,,
1564520.2603,5181218.7094,4875,,
1564523.9132,5181232.5115,4876,,
1564539.5621,5179621.986,4877,,
1564541.8953,5180372.8992,4878,,
1564556.0606,5183716.649,4879,,
1564562.7765,5176010.0288,4880,,
1564570.4637,5176019.3543,4881,,
1564571.3364,5179204.3605,4882,,
1564573.2351,5179227.3603,4883,,
1564575.1636,5179664.655,4884,,
1564582.8794,5184486.1223,4885,,
1564584.579,5174698.8816,4886,,
1564584.9103,5174709.5343,4887,,
1564602.0504,5184761.4325,4888,,
1564604.2185,5174502.304,4889,,
1564661.6748,5180348.8187,4890,,
1564681.6187,5183382.3261,4891,,
1564701.5422,5183925.7313,4892,,
1564719.0628,5184667.6338,4893,,
1564724.9933,5184069.9006,4894,,
1564738.1074,5174709.4192,4895,,
1564752.4917,5174711.6494,4896,,
1564773.75,5179791.7097,4897,,
1564784.8891,5184769.977,4898,,
1564792.8957,5179823.3738,4899,,
1564800.1191,5181694.158,4900,,
1564813.2507,5184425.9026,4901,,
1564817.6705,5184384.722,4902,,
1564821.3527,5183292.1656,4903,,
1564838.1155,5182471.6652,4904,,
1564852.685,5183236.9542,4905,,
1564865.3137,5181710.8139,4906,,
1564868.7076,5174388.1109,4907,,
1564878.8907,5179217.7364,4908,,
1564884.4169,5174712.4633,4909,,
1564884.5759,5184651.9512,4910,,
1564897.9705,5182464.3368,4911,,
1564906.9308,5173225.5595,4912,,
1564911.9721,5179891.6776,4913,,
1564918.2166,5180218.6319,4914,,
1564932.3688,5179195.9921,4915,,
1564939.6526,5173230.7618,4916,,
1564946.1802,5179934.204,4917,,
1564950.4812,5184245.7667,4918,,
1564952.7929,5174764.0207,4919,,
1564957.2447,5180226.6542,4920,,
1564973.9418,5175801.6676,4921,,
1564982.1378,5181304.0715,4922,,
1564984.6918,5176632.8156,4923,,
1564985.018,5184789.0906,4924,,
1564990.713,5184225.8629,4925,,
1564991.7852,5181295.2146,4926,,
1565000.3292,5183110.8474,4927,,
1565012.4207,5176627.6292,4928,,
1565025.231,5175765.4954,4929,,
1565040.1669,5183106.3233,4930,,
1565051.8918,5182542.448,4931,,
1565054.1907,5181679.9788,4932,,
1565081.3935,5174957.074,4933,,
1565097.7222,5181687.8126,4934,,
1565100.1991,5174950.7635,4935,,
1565100.8784,5181317.9496,4936,,
1565111.5539,5174552.7736,4937,,
1565119.3396,5174577.1368,4938,,
1565121.004,5173451.09,4939,,
1565125.5805,5183716.8259,4940,,
1565132.4,5179983.8066,4941,,
1565136.4256,5183720.8581,4942,,
1565146.6344,5183949.2305,4943,,
1565147.6204,5180146.4467,4944,,
1565152.6681,5183939.4439,4945,,
1565155.3868,5185687.0912,4946,,
1565162.8187,5173477.6737,4947,,
1565166.2646,5185701.0745,4948,,
1565172.8788,5174173.9904,4949,,
1565187.9064,5173198.0474,4950,,
1565192.2172,5184673.329,4951,,
1565210.1491,5179184.6639,4952,,
1565218.7023,5173235.3133,4953,,
1565221.6864,5175265.2462,4954,,
1565234.721,5175252.386,4955,,
1565259.2827,5184645.0661,4956,,
1565279.6294,5180073.4959,4957,,
1565279.9465,5173767.089,4958,,
1565280.4074,5174227.1471,4959,,
1565281.1103,5183685.1336,4960,,
1565282.0969,5173702.5615,4961,,
1565286.3445,5179206.826,4962,,
1565296.0375,5173479.6526,4963,,
1565296.293,5183680.5363,4964,,
1565319.1953,5174195.2949,4965,,
1565319.4517,5175631.5034,4966,,
1565329.3244,5174031.8406,4967,,
1565330.011,5181686.1377,4968,,
1565338.9558,5173981.8232,4969,,
1565341.8459,5180003.5704,4970,,
1565348.2483,5184548.4907,4971,,
1565362.2497,5182830.7803,4972,,
1565362.781,5181701.0666,4973,,
1565366.7473,5175523.5949,4974,,
1565376.6319,5182789.7283,4975,,
1565383.9736,5181288.0269,4976,,
1565390.8812,5183763.042,4977,,
1565412.1038,5175688.2569,4978,,
1565414.5,5181631.9749,4979,,
1565429.2842,5181274.7993,4980,,
1565434.0647,5181582.1644,4981,,
1565454.2216,5184518.4715,4982,,
1565463.9992,5180039.2947,4983,,
1565472.9385,5183746.5601,4984,,
1565507.3374,5180018.2378,4985,,
1565526.8525,5180728.7329,4986,,
1565533.9278,5185563.2187,4987,,
1565537.6604,5180562.5513,4988,,
1565537.8387,5179199.2911,4989,,
1565546.056,5179221.2569,4990,,
1565547.1686,5184347.7252,4991,,
1565552.3001,5184360.9233,4992,,
1565568.2069,5183609.81,4993,,
1565570.124,5180256.0652,4994,,
1565571.2599,5179819.7761,4995,,
1565577.9296,5181643.653,4996,,
1565586.8291,5179808.9718,4997,,
1565590.1908,5180211.3879,4998,,
1565616.6771,5176245.4865,4999,,
1565618.0232,5176063.0622,5000,,
1565621.0562,5183576.6619,5001,,
1565621.9021,5179365.6814,5002,,
1565625.3043,5176260.8239,5003,,
1565636.6871,5182569.3723,5004,,
1565640.7464,5179314.5783,5005,,
1565663.6017,5184223.9763,5006,,
1565671.0035,5184235.9642,5007,,
1565677.3656,5182565.7151,5008,,
1565686.5479,5181578.7707,5009,,
1565688.7598,5176132.1607,5010,,
1565713.8162,5183215.5868,5011,,
1565715.5668,5183202.0241,5012,,
1565716.1311,5181519.6925,5013,,
1565727.1067,5185435.4187,5014,,
1565773.0696,5180057.7903,5015,,
1565773.4777,5183431.7601,5016,,
1565800.1067,5183420.8671,5017,,
1565810.4018,5185414.7074,5018,,
1565837.896,5183095.5611,5019,,
1565849.413,5184023.2461,5020,,
1565854.5119,5179111.6473,5021,,
1565855.7022,5183092.9749,5022,,
1565863.6685,5181751.1398,5023,,
1565870.1254,5181776.8278,5024,,
1565871.9049,5182393.0272,5025,,
1565875.4723,5182370.1889,5026,,
1565896.9838,5179084.7639,5027,,
1565906.8865,5180087.091,5028,,
1565908.243,5183984.5175,5029,,
1565938.0155,5181354.5278,5030,,
1565972.7356,5180078.8285,5031,,
1565975.6991,5179266.8378,5032,,
1565978.3118,5182795.9633,5033,,
1565978.9707,5182825.5089,5034,,
1565981.0774,5180923.0387,5035,,
1566002.0935,5180826.2994,5036,,
1566005.1419,5182061.7731,5037,,
1566007.0517,5181236.2635,5038,,
1566021.2505,5180523.2648,5039,,
1566021.9452,5181254.1086,5040,,
1566031.4064,5179250.9935,5041,,
1566038.2914,5181411.6097,5042,,
1566047.0472,5182222.7238,5043,,
1566057.0037,5182234.2911,5044,,
1566057.5499,5180344.106,5045,,
1566057.6219,5180193.8178,5046,,
1566058.5822,5183002.8425,5047,,
1566064.6321,5183010.2475,5048,,
1566067.2037,5185243.9179,5049,,
1566082.2035,5183859.2868,5050,,
1566084.0166,5182131.8178,5051,,
1566091.6751,5185256.5355,5052,,
1566131.3456,5183863.8101,5053,,
1566138.0029,5180111.3379,5054,,
1566161.76,5181397.3277,5055,,
1566171.613,5183063.7624,5056,,
1566191.125,5183069.1692,5057,,
1566211.5326,5176764.4574,5058,,
1566213.9337,5178763.2861,5059,,
1566218.4329,5176630.6178,5060,,
1566222.319,5176644.7977,5061,,
1566224.1096,5176752.8259,5062,,
